estado,municipio,base,escenario,estado_norm,municipio_norm,cambio_detectable,municipio_inegi_norm,municipio_inegi,cve_ent,cve_mun,cvegeo,existe_en_inegi
CHIAPAS,SOCOLTENANGO,BANAVIM,ALTA,CHIAPAS,SOCOLTENANGO,False,SOCOLTENANGO,Socoltenango,07,083,07083,True
CHIAPAS,SUCHIATE,BANAVIM,ALTA,CHIAPAS,SUCHIATE,False,SUCHIATE,Suchiate,07,087,07087,True
CHIAPAS,TAPACHULA,BANAVIM,ALTA,CHIAPAS,TAPACHULA,False,TAPACHULA,Tapachula,07,089,07089,True
CHIAPAS,TAPILULA,BANAVIM,ALTA,CHIAPAS,TAPILULA,False,TAPILULA,Tapilula,07,091,07091,True
CHIAPAS,TECPATAN,BANAVIM,ALTA,CHIAPAS,TECPATAN,False,TECPATAN,Tecpatán,07,092,07092,True
CHIAPAS,TENEJAPA,BANAVIM,ALTA,CHIAPAS,TENEJAPA,False,TENEJAPA,Tenejapa,07,093,07093,True
CHIAPAS,TEOPISCA,BANAVIM,ALTA,CHIAPAS,TEOPISCA,False,TEOPISCA,Teopisca,07,094,07094,True
CHIAPAS,TONALA,BANAVIM,ALTA,CHIAPAS,TONALA,False,TONALA,Tonalá,07,097,07097,True
CHIAPAS,TUMBALA,BANAVIM,ALTA,CHIAPAS,TUMBALA,False,TUMBALA,Tumbalá,07,100,07100,True
CHIAPAS,TUXTLA GUTIERREZ,BANAVIM,ALTA,CHIAPAS,TUXTLA GUTIERREZ,False,TUXTLA GUTIERREZ,Tuxtla Gutiérrez,07,101,07101,True
CHIAPAS,TUZANTAN,BANAVIM,ALTA,CHIAPAS,TUZANTAN,False,TUZANTAN,Tuzantán,07,103,07103,True
CHIAPAS,VENUSTIANO CARRANZA,BANAVIM,ALTA,CHIAPAS,VENUSTIANO CARRANZA,False,VENUSTIANO CARRANZA,Venustiano Carranza,07,106,07106,True
CHIAPAS,VILLAFLORES,BANAVIM,ALTA,CHIAPAS,VILLAFLORES,False,VILLAFLORES,Villaflores,07,108,07108,True
CHIAPAS,YAJALON,BANAVIM,ALTA,CHIAPAS,YAJALON,False,YAJALON,Yajalón,07,109,07109,True
CHIAPAS,ZINACANTAN,BANAVIM,ALTA,CHIAPAS,ZINACANTAN,False,ZINACANTAN,Zinacantán,07,111,07111,True
CHIHUAHUA,CHIHUAHUA,BANAVIM,ALTA,CHIHUAHUA,CHIHUAHUA,False,CHIHUAHUA,Chihuahua,08,019,08019,True
CHIHUAHUA,GOMEZ FARIAS,BANAVIM,ALTA,CHIHUAHUA,GOMEZ FARIAS,False,GOMEZ FARIAS,Gómez Farías,08,025,08025,True
CHIHUAHUA,GUACHOCHI,BANAVIM,ALTA,CHIHUAHUA,GUACHOCHI,False,GUACHOCHI,Guachochi,08,027,08027,True
CHIHUAHUA,HIDALGO DEL PARRAL,BANAVIM,ALTA,CHIHUAHUA,HIDALGO DEL PARRAL,False,HIDALGO DEL PARRAL,Hidalgo del Parral,08,032,08032,True
CHIHUAHUA,JUAREZ,BANAVIM,ALTA,CHIHUAHUA,JUAREZ,False,JUAREZ,Juárez,08,037,08037,True
COAHUILA,ACUNA,BANAVIM,ALTA,COAHUILA,ACUNA,False,ACUNA,Acuña,05,002,05002,True
COAHUILA,FRANCISCO I MADERO,BANAVIM,ALTA,COAHUILA,FRANCISCO I MADERO,False,FRANCISCO I MADERO,Francisco I. Madero,05,009,05009,True
COAHUILA,FRONTERA,BANAVIM,ALTA,COAHUILA,FRONTERA,False,FRONTERA,Frontera,05,010,05010,True
COAHUILA,GENERAL CEPEDA,BANAVIM,ALTA,COAHUILA,GENERAL CEPEDA,False,GENERAL CEPEDA,General Cepeda,05,011,05011,True
COAHUILA,MATAMOROS,BANAVIM,ALTA,COAHUILA,MATAMOROS,False,MATAMOROS,Matamoros,05,017,05017,True
COAHUILA,MONCLOVA,BANAVIM,ALTA,COAHUILA,MONCLOVA,False,MONCLOVA,Monclova,05,018,05018,True
COAHUILA,PARRAS,BANAVIM,ALTA,COAHUILA,PARRAS,False,PARRAS,Parras,05,024,05024,True
COAHUILA,PIEDRAS NEGRAS,BANAVIM,ALTA,COAHUILA,PIEDRAS NEGRAS,False,PIEDRAS NEGRAS,Piedras Negras,05,025,05025,True
COAHUILA,SABINAS,BANAVIM,ALTA,COAHUILA,SABINAS,False,SABINAS,Sabinas,05,028,05028,True
COAHUILA,SALTILLO,BANAVIM,ALTA,COAHUILA,SALTILLO,False,SALTILLO,Saltillo,05,030,05030,True
COAHUILA,SAN JUAN DE SABINAS,BANAVIM,ALTA,COAHUILA,SAN JUAN DE SABINAS,False,SAN JUAN DE SABINAS,San Juan de Sabinas,05,032,05032,True
COAHUILA,SAN PEDRO,BANAVIM,ALTA,COAHUILA,SAN PEDRO,False,SAN PEDRO,San Pedro,05,033,05033,True
COAHUILA,TORREON,BANAVIM,ALTA,COAHUILA,TORREON,False,TORREON,Torreón,05,035,05035,True
