sim_municipio,sim_vinculo,sim_sexo,score,idx_ine,idx_bv,municipio_ine,estado_ine,sexo_ine,vinculo_grupo_ine,vinculo_victima_ine,municipio_bv,estado_bv,sexo_bv,vinculo_grupo_bv,edad_bv,escolaridad_bv,estado_civil_bv,Portaba Dicha Arma_bv,Droga_Alcohol_bv,año_banavim_bv,fuente_bv
1.0,1,1,3.0,55,790702,PEROTE,VERACRUZ,H,PARES,PARES,PEROTE,VERACRUZ,H,PARES,30.0,Licenciatura,Casado,,0,2022,BANAVIM
1.0,1,1,3.0,57,243176,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,25.0,Preparatoria,,,0,2020,BANAVIM
1.0,1,1,3.0,57,243233,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,20.0,No identificado,,,0,2020,BANAVIM
1.0,1,1,3.0,57,243275,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,40.0,Licenciatura,,,0,2020,BANAVIM
1.0,1,1,3.0,57,243497,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,35.0,Ninguna,,,0,2020,BANAVIM
1.0,1,1,3.0,57,243505,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,32.0,No identificado,,,0,2020,BANAVIM
1.0,1,1,3.0,57,243535,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,45.0,Primaria,,,0,2020,BANAVIM
1.0,1,1,3.0,57,243557,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,38.0,No identificado,,,0,2020,BANAVIM
1.0,1,1,3.0,57,243569,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,40.0,No identificado,,,0,2020,BANAVIM
1.0,1,1,3.0,57,243586,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,45.0,No identificado,,,0,2020,BANAVIM
1.0,1,1,3.0,57,243684,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,34.0,Licenciatura,,,1,2020,BANAVIM
1.0,1,1,3.0,57,243690,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,30.0,No identificado,,,1,2020,BANAVIM
1.0,1,1,3.0,57,243732,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,32.0,Ninguna,,,1,2020,BANAVIM
1.0,1,1,3.0,57,243759,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,40.0,No identificado,,,1,2020,BANAVIM
1.0,1,1,3.0,57,243782,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,20.0,Preparatoria,,,1,2020,BANAVIM
1.0,1,1,3.0,57,243812,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,30.0,No identificado,,,0,2020,BANAVIM
1.0,1,1,3.0,57,243999,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,25.0,No identificado,,,1,2020,BANAVIM
1.0,1,1,3.0,57,244000,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,25.0,No identificado,,,1,2020,BANAVIM
1.0,1,1,3.0,57,244018,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,38.0,Secundaria,,,0,2020,BANAVIM
1.0,1,1,3.0,57,244069,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,41.0,No identificado,,,1,2020,BANAVIM
1.0,1,1,3.0,57,244070,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,41.0,No identificado,,,1,2020,BANAVIM
1.0,1,1,3.0,57,244087,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,28.0,Licenciatura,,,0,2020,BANAVIM
1.0,1,1,3.0,57,244158,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,21.0,Preparatoria,,,0,2020,BANAVIM
1.0,1,1,3.0,57,244160,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,21.0,Preparatoria,,,0,2020,BANAVIM
1.0,1,1,3.0,57,244169,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,59.0,Preparatoria,,,0,2020,BANAVIM
1.0,1,1,3.0,57,244172,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,21.0,Preparatoria,,,0,2020,BANAVIM
1.0,1,1,3.0,57,244235,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,22.0,No identificado,No identificado,,0,2020,BANAVIM
1.0,1,1,3.0,57,244280,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,40.0,No identificado,No identificado,,0,2020,BANAVIM
1.0,1,1,3.0,57,244281,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,32.0,Preparatoria,,,0,2020,BANAVIM
1.0,1,1,3.0,57,244378,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,46.0,Licenciatura,,,1,2020,BANAVIM
1.0,1,1,3.0,57,244427,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,26.0,Licenciatura,,,1,2020,BANAVIM
1.0,1,1,3.0,57,244434,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,25.0,Licenciatura,,,1,2020,BANAVIM
1.0,1,1,3.0,57,244443,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,40.0,Primaria,No identificado,,0,2020,BANAVIM
1.0,1,1,3.0,57,244495,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,44.0,Secundaria,,,0,2020,BANAVIM
1.0,1,1,3.0,57,244515,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,30.0,Secundaria,Separado,,0,2020,BANAVIM
1.0,1,1,3.0,57,244562,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,24.0,Preparatoria,No identificado,,0,2020,BANAVIM
1.0,1,1,3.0,57,244565,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,,,Seleccione,,0,2020,BANAVIM
1.0,1,1,3.0,57,244585,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,46.0,Secundaria,No identificado,,0,2020,BANAVIM
1.0,1,1,3.0,57,244620,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,37.0,Licenciatura,No identificado,,0,2020,BANAVIM
1.0,1,1,3.0,57,244633,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,20.0,Preparatoria,Soltero,,0,2020,BANAVIM
1.0,1,1,3.0,57,244702,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,42.0,Ninguna,Unión libre,,1,2020,BANAVIM
1.0,1,1,3.0,57,244727,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,22.0,Primaria,,,0,2020,BANAVIM
1.0,1,1,3.0,57,244764,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,31.0,Licenciatura,Casado,,1,2020,BANAVIM
1.0,1,1,3.0,57,244765,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,31.0,Licenciatura,Casado,,1,2020,BANAVIM
1.0,1,1,3.0,57,244773,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,44.0,Secundaria,Casado,,0,2020,BANAVIM
1.0,1,1,3.0,57,244781,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,41.0,Preparatoria,Casado,,1,2020,BANAVIM
1.0,1,1,3.0,57,244804,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,36.0,Maestría,Casado,,0,2020,BANAVIM
1.0,1,1,3.0,57,244806,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,39.0,Preparatoria,Casado,,1,2020,BANAVIM
1.0,1,1,3.0,57,244823,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,34.0,No identificado,No identificado,,0,2020,BANAVIM
1.0,1,1,3.0,57,244865,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,30.0,Primaria,,,0,2020,BANAVIM
1.0,1,1,3.0,57,244903,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,28.0,Preparatoria,Unión libre,,1,2020,BANAVIM
1.0,1,1,3.0,57,244910,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,29.0,Secundaria,No identificado,,0,2020,BANAVIM
1.0,1,1,3.0,57,244912,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,35.0,No identificado,Casado,,0,2020,BANAVIM
1.0,1,1,3.0,57,244914,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,41.0,Primaria,No identificado,,0,2020,BANAVIM
1.0,1,1,3.0,57,244942,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,36.0,Secundaria,Separado,,0,2020,BANAVIM
1.0,1,1,3.0,57,449340,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,25.0,No identificado,,,0,2021,BANAVIM
1.0,1,1,3.0,57,521105,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,23.0,No identificado,,,1,2021,BANAVIM
1.0,1,1,3.0,57,521106,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,23.0,No identificado,,,1,2021,BANAVIM
1.0,1,1,3.0,57,521127,CENTRO,TABASCO,H,OTRO,OTRO,CENTRO,TABASCO,H,OTRO,30.0,No identificado,,,0,2021,BANAVIM
