escenario,tipo,estado_municipio
ALTA,solo_banavim,GUANAJUATO - LEON
ALTA,solo_banavim,GUERRERO - ACAPULCO DE JUAREZ
ALTA,solo_banavim,GUERRERO - BENITO JUAREZ
ALTA,solo_banavim,GUERRERO - CHILPANCINGO DE LOS BRAVO
ALTA,solo_banavim,GUERRERO - EDUARDO NERI
ALTA,solo_banavim,GUERRERO - MARQUELIA
ALTA,solo_banavim,GUERRERO - OMETEPEC
ALTA,solo_banavim,GUERRERO - PETATLAN
ALTA,solo_banavim,GUERRERO - PUNGARABATO
ALTA,solo_banavim,GUERRERO - TLAPA DE COMONFORT
ALTA,solo_banavim,GUERRERO - ZIHUATANEJO DE AZUETA
ALTA,solo_banavim,HIDALGO - ACTOPAN
ALTA,solo_banavim,HIDALGO - ALFAJAYUCAN
ALTA,solo_banavim,HIDALGO - APAN
ALTA,solo_banavim,HIDALGO - ATITALAQUIA
ALTA,solo_banavim,HIDALGO - ATOTONILCO DE TULA
ALTA,solo_banavim,HIDALGO - ATOTONILCO EL GRANDE
ALTA,solo_banavim,HIDALGO - EPAZOYUCAN
ALTA,solo_banavim,HIDALGO - HUEJUTLA DE REYES
ALTA,solo_banavim,HIDALGO - IXMIQUILPAN
ALTA,solo_banavim,HIDALGO - METZTITLAN
ALTA,solo_banavim,HIDALGO - MINERAL DE LA REFORMA
ALTA,solo_banavim,HIDALGO - MINERAL DEL CHICO
ALTA,solo_banavim,HIDALGO - MIXQUIAHUALA DE JUAREZ
ALTA,solo_banavim,HIDALGO - NOPALA DE VILLAGRAN
ALTA,solo_banavim,HIDALGO - PACHUCA DE SOTO
ALTA,solo_banavim,HIDALGO - SINGUILUCAN
ALTA,solo_banavim,HIDALGO - TECOZAUTLA
ALTA,solo_banavim,HIDALGO - TEPEAPULCO
ALTA,solo_banavim,HIDALGO - TEPEHUACAN DE GUERRERO
ALTA,solo_banavim,HIDALGO - TEPEJI DEL RIO DE OCAMPO
ALTA,solo_banavim,HIDALGO - TIZAYUCA
ALTA,solo_banavim,HIDALGO - TOLCAYUCA
ALTA,solo_banavim,HIDALGO - TULA DE ALLENDE
ALTA,solo_banavim,HIDALGO - TULANCINGO DE BRAVO
ALTA,solo_banavim,HIDALGO - ZACUALTIPAN DE ANGELES
ALTA,solo_banavim,JALISCO - AMECA
ALTA,solo_banavim,JALISCO - ARANDAS
ALTA,solo_banavim,JALISCO - ATOTONILCO EL ALTO
ALTA,solo_banavim,JALISCO - AUTLAN DE NAVARRO
ALTA,solo_banavim,JALISCO - COLOTLAN
ALTA,solo_banavim,JALISCO - CUQUIO
ALTA,solo_banavim,JALISCO - EL SALTO
ALTA,solo_banavim,JALISCO - ENCARNACION DE DIAZ
ALTA,solo_banavim,JALISCO - ETZATLAN
ALTA,solo_banavim,JALISCO - GUACHINANGO
ALTA,solo_banavim,JALISCO - GUADALAJARA
ALTA,solo_banavim,JALISCO - IXTLAHUACAN DE LOS MEMBRILLOS
ALTA,solo_banavim,JALISCO - IXTLAHUACAN DEL RIO
ALTA,solo_banavim,JALISCO - JUANACATLAN
ALTA,solo_banavim,JALISCO - LAGOS DE MORENO
ALTA,solo_banavim,JALISCO - MAGDALENA
ALTA,solo_banavim,JALISCO - OCOTLAN
ALTA,solo_banavim,JALISCO - OJUELOS DE JALISCO
ALTA,solo_banavim,JALISCO - PONCITLAN
ALTA,solo_banavim,JALISCO - PUERTO VALLARTA
ALTA,solo_banavim,JALISCO - SAN JUAN DE LOS LAGOS
ALTA,solo_banavim,JALISCO - SAN MARCOS
ALTA,solo_banavim,JALISCO - SAN PEDRO TLAQUEPAQUE
ALTA,solo_banavim,JALISCO - TAMAZULA DE GORDIANO
ALTA,solo_banavim,JALISCO - TEOCALTICHE
ALTA,solo_banavim,JALISCO - TEPATITLAN DE MORELOS
ALTA,solo_banavim,JALISCO - TEQUILA
ALTA,solo_banavim,JALISCO - TLAJOMULCO DE ZUNIGA
ALTA,solo_banavim,JALISCO - TONALA
ALTA,solo_banavim,JALISCO - TOTOTLAN
ALTA,solo_banavim,JALISCO - TUXCUECA
ALTA,solo_banavim,JALISCO - ZACOALCO DE TORRES
ALTA,solo_banavim,JALISCO - ZAPOPAN
ALTA,solo_banavim,JALISCO - ZAPOTITLAN DE VADILLO
ALTA,solo_banavim,JALISCO - ZAPOTLAN EL GRANDE
ALTA,solo_banavim,JALISCO - ZAPOTLANEJO
ALTA,solo_banavim,MEXICO - ALMOLOYA DE ALQUISIRAS
ALTA,solo_banavim,MEXICO - ALMOLOYA DE JUAREZ
ALTA,solo_banavim,MEXICO - AMECAMECA
ALTA,solo_banavim,MEXICO - ATIZAPAN DE ZARAGOZA
ALTA,solo_banavim,MEXICO - CHALCO
ALTA,solo_banavim,MEXICO - CHICOLOAPAN
ALTA,solo_banavim,MEXICO - CHIMALHUACAN
ALTA,solo_banavim,MEXICO - COACALCO DE BERRIOZABAL
ALTA,solo_banavim,MEXICO - COATEPEC HARINAS
ALTA,solo_banavim,MEXICO - CUAUTITLAN
ALTA,solo_banavim,MEXICO - CUAUTITLAN IZCALLI
ALTA,solo_banavim,MEXICO - ECATEPEC DE MORELOS
ALTA,solo_banavim,MEXICO - HUIXQUILUCAN
ALTA,solo_banavim,MEXICO - IXTAPALUCA
ALTA,solo_banavim,MEXICO - IXTAPAN DE LA SAL
ALTA,solo_banavim,MEXICO - JILOTEPEC
ALTA,solo_banavim,MEXICO - LA PAZ
ALTA,solo_banavim,MEXICO - LERMA
ALTA,solo_banavim,MEXICO - LUVIANOS
